commodity,msha_name,series,year,quarter,units,production,region,datastream price,bloomberg price,bloomberg * 100
aluminum,Aluminum Ore-Bauxite,USIP331AG,1995,4,"Volume, SA, Index, 2012 = 100",,US,,,
aluminum,Aluminum Ore-Bauxite,USIP331AG,1996,1,"Volume, SA, Index, 2012 = 101",,US,,,
aluminum,Aluminum Ore-Bauxite,USIP331AG,1996,2,"Volume, SA, Index, 2012 = 102",,US,,,
aluminum,Aluminum Ore-Bauxite,USIP331AG,1996,3,"Volume, SA, Index, 2012 = 103",,US,,,
aluminum,Aluminum Ore-Bauxite,USIP331AG,1996,4,"Volume, SA, Index, 2012 = 104",,US,,,
aluminum,Aluminum Ore-Bauxite,USIP331AG,1997,1,"Volume, SA, Index, 2012 = 105",,US,,,
aluminum,Aluminum Ore-Bauxite,USIP331AG,1997,2,"Volume, SA, Index, 2012 = 106",,US,,,
aluminum,Aluminum Ore-Bauxite,USIP331AG,1997,3,"Volume, SA, Index, 2012 = 107",,US,,,
aluminum,Aluminum Ore-Bauxite,USIP331AG,1997,4,"Volume, SA, Index, 2012 = 108",,US,,,
aluminum,Aluminum Ore-Bauxite,USIP331AG,1998,1,"Volume, SA, Index, 2012 = 109",,US,,,
aluminum,Aluminum Ore-Bauxite,USIP331AG,1998,2,"Volume, SA, Index, 2012 = 110",,US,,,
aluminum,Aluminum Ore-Bauxite,USIP331AG,1998,3,"Volume, SA, Index, 2012 = 111",,US,,,
aluminum,Aluminum Ore-Bauxite,USIP331AG,1998,4,"Volume, SA, Index, 2012 = 112",,US,,,
aluminum,Aluminum Ore-Bauxite,USIP331AG,1999,1,"Volume, SA, Index, 2012 = 113",,US,,,
aluminum,Aluminum Ore-Bauxite,USIP331AG,1999,2,"Volume, SA, Index, 2012 = 114",,US,,,
aluminum,Aluminum Ore-Bauxite,USIP331AG,1999,3,"Volume, SA, Index, 2012 = 115",,US,,,
aluminum,Aluminum Ore-Bauxite,USIP331AG,1999,4,"Volume, SA, Index, 2012 = 116",,US,,,
aluminum,Aluminum Ore-Bauxite,USIP331AG,2000,1,"Volume, SA, Index, 2012 = 117",,US,,,
aluminum,Aluminum Ore-Bauxite,USIP331AG,2000,2,"Volume, SA, Index, 2012 = 118",,US,,,
aluminum,Aluminum Ore-Bauxite,USIP331AG,2000,3,"Volume, SA, Index, 2012 = 119",,US,,,
aluminum,Aluminum Ore-Bauxite,USIP331AG,2000,4,"Volume, SA, Index, 2012 = 120",,US,,,
aluminum,Aluminum Ore-Bauxite,USIP331AG,2001,1,"Volume, SA, Index, 2012 = 121",,US,,,
aluminum,Aluminum Ore-Bauxite,USIP331AG,2001,2,"Volume, SA, Index, 2012 = 122",,US,,,
aluminum,Aluminum Ore-Bauxite,USIP331AG,2001,3,"Volume, SA, Index, 2012 = 123",,US,,,
aluminum,Aluminum Ore-Bauxite,USIP331AG,2001,4,"Volume, SA, Index, 2012 = 124",,US,,,
aluminum,Aluminum Ore-Bauxite,USIP331AG,2002,1,"Volume, SA, Index, 2012 = 125",,US,,,
aluminum,Aluminum Ore-Bauxite,USIP331AG,2002,2,"Volume, SA, Index, 2012 = 126",,US,,,
aluminum,Aluminum Ore-Bauxite,USIP331AG,2002,3,"Volume, SA, Index, 2012 = 127",,US,,,
aluminum,Aluminum Ore-Bauxite,USIP331AG,2002,4,"Volume, SA, Index, 2012 = 128",,US,,,
aluminum,Aluminum Ore-Bauxite,USIP331AG,2003,1,"Volume, SA, Index, 2012 = 129",,US,,,
aluminum,Aluminum Ore-Bauxite,USIP331AG,2003,2,"Volume, SA, Index, 2012 = 130",,US,,,
aluminum,Aluminum Ore-Bauxite,USIP331AG,2003,3,"Volume, SA, Index, 2012 = 131",,US,,,
aluminum,Aluminum Ore-Bauxite,USIP331AG,2003,4,"Volume, SA, Index, 2012 = 132",,US,,,
aluminum,Aluminum Ore-Bauxite,USIP331AG,2004,1,"Volume, SA, Index, 2012 = 133",,US,,,
aluminum,Aluminum Ore-Bauxite,USIP331AG,2004,2,"Volume, SA, Index, 2012 = 134",,US,,,
aluminum,Aluminum Ore-Bauxite,USIP331AG,2004,3,"Volume, SA, Index, 2012 = 135",,US,,,
aluminum,Aluminum Ore-Bauxite,USIP331AG,2004,4,"Volume, SA, Index, 2012 = 136",,US,,,
aluminum,Aluminum Ore-Bauxite,USIP331AG,2005,1,"Volume, SA, Index, 2012 = 137",,US,,,
aluminum,Aluminum Ore-Bauxite,USIP331AG,2005,2,"Volume, SA, Index, 2012 = 138",,US,,,
aluminum,Aluminum Ore-Bauxite,USIP331AG,2005,3,"Volume, SA, Index, 2012 = 139",,US,,,
aluminum,Aluminum Ore-Bauxite,USIP331AG,2005,4,"Volume, SA, Index, 2012 = 140",,US,,,
aluminum,Aluminum Ore-Bauxite,USIP331AG,2006,1,"Volume, SA, Index, 2012 = 141",,US,,,
aluminum,Aluminum Ore-Bauxite,USIP331AG,2006,2,"Volume, SA, Index, 2012 = 142",,US,,,
aluminum,Aluminum Ore-Bauxite,USIP331AG,2006,3,"Volume, SA, Index, 2012 = 143",,US,,,
aluminum,Aluminum Ore-Bauxite,USIP331AG,2006,4,"Volume, SA, Index, 2012 = 144",,US,,,
aluminum,Aluminum Ore-Bauxite,USIP331AG,2007,1,"Volume, SA, Index, 2012 = 145",,US,,,
aluminum,Aluminum Ore-Bauxite,USIP331AG,2007,2,"Volume, SA, Index, 2012 = 146",,US,,,
aluminum,Aluminum Ore-Bauxite,USIP331AG,2007,3,"Volume, SA, Index, 2012 = 147",,US,,,
aluminum,Aluminum Ore-Bauxite,USIP331AG,2007,4,"Volume, SA, Index, 2012 = 148",,US,,,
aluminum,Aluminum Ore-Bauxite,USIP331AG,2008,1,"Volume, SA, Index, 2012 = 149",,US,,,
aluminum,Aluminum Ore-Bauxite,USIP331AG,2008,2,"Volume, SA, Index, 2012 = 150",,US,,,
aluminum,Aluminum Ore-Bauxite,USIP331AG,2008,3,"Volume, SA, Index, 2012 = 151",,US,,,
aluminum,Aluminum Ore-Bauxite,USIP331AG,2008,4,"Volume, SA, Index, 2012 = 152",,US,,,
aluminum,Aluminum Ore-Bauxite,USIP331AG,2009,1,"Volume, SA, Index, 2012 = 153",,US,,,
aluminum,Aluminum Ore-Bauxite,USIP331AG,2009,2,"Volume, SA, Index, 2012 = 154",,US,,,
aluminum,Aluminum Ore-Bauxite,USIP331AG,2009,3,"Volume, SA, Index, 2012 = 155",,US,,,
aluminum,Aluminum Ore-Bauxite,USIP331AG,2009,4,"Volume, SA, Index, 2012 = 156",,US,,,
aluminum,Aluminum Ore-Bauxite,USIP331AG,2010,1,"Volume, SA, Index, 2012 = 157",,US,,,
aluminum,Aluminum Ore-Bauxite,USIP331AG,2010,2,"Volume, SA, Index, 2012 = 158",,US,,,
aluminum,Aluminum Ore-Bauxite,USIP331AG,2010,3,"Volume, SA, Index, 2012 = 159",,US,,,
aluminum,Aluminum Ore-Bauxite,USIP331AG,2010,4,"Volume, SA, Index, 2012 = 160",,US,,,
aluminum,Aluminum Ore-Bauxite,USIP331AG,2011,1,"Volume, SA, Index, 2012 = 161",,US,,,
aluminum,Aluminum Ore-Bauxite,USIP331AG,2011,2,"Volume, SA, Index, 2012 = 162",,US,,,
aluminum,Aluminum Ore-Bauxite,USIP331AG,2011,3,"Volume, SA, Index, 2012 = 163",,US,,,
aluminum,Aluminum Ore-Bauxite,USIP331AG,2011,4,"Volume, SA, Index, 2012 = 164",,US,,,
aluminum,Aluminum Ore-Bauxite,USIP331AG,2012,1,"Volume, SA, Index, 2012 = 165",,US,,,
aluminum,Aluminum Ore-Bauxite,USIP331AG,2012,2,"Volume, SA, Index, 2012 = 166",,US,,,
aluminum,Aluminum Ore-Bauxite,USIP331AG,2012,3,"Volume, SA, Index, 2012 = 167",,US,,,
aluminum,Aluminum Ore-Bauxite,USIP331AG,2012,4,"Volume, SA, Index, 2012 = 168",,US,,,
aluminum,Aluminum Ore-Bauxite,USIP331AG,2013,1,"Volume, SA, Index, 2012 = 169",,US,,,
aluminum,Aluminum Ore-Bauxite,USIP331AG,2013,2,"Volume, SA, Index, 2012 = 170",,US,,,
aluminum,Aluminum Ore-Bauxite,USIP331AG,2013,3,"Volume, SA, Index, 2012 = 171",,US,,,
aluminum,Aluminum Ore-Bauxite,USIP331AG,2013,4,"Volume, SA, Index, 2012 = 172",,US,,,
aluminum,Aluminum Ore-Bauxite,USIP331AG,2014,1,"Volume, SA, Index, 2012 = 173",,US,,,
aluminum,Aluminum Ore-Bauxite,USIP331AG,2014,2,"Volume, SA, Index, 2012 = 174",,US,,,
aluminum,Aluminum Ore-Bauxite,USIP331AG,2014,3,"Volume, SA, Index, 2012 = 175",,US,,,
aluminum,Aluminum Ore-Bauxite,USIP331AG,2014,4,"Volume, SA, Index, 2012 = 176",,US,,,
aluminum,Aluminum Ore-Bauxite,USIP331AG,2015,1,"Volume, SA, Index, 2012 = 177",,US,,,
aluminum,Aluminum Ore-Bauxite,USIP331AG,2015,2,"Volume, SA, Index, 2012 = 178",,US,,,
aluminum,Aluminum Ore-Bauxite,USIP331AG,2015,3,"Volume, SA, Index, 2012 = 179",,US,,,
gold,Gold Ore,USCGTSMQP,2000,1,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2000,2,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2000,3,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2000,4,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2001,1,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2001,2,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2001,3,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2001,4,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2002,1,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2002,2,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2002,3,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2002,4,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2003,1,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2003,2,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2003,3,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2003,4,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2004,1,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2004,2,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2004,3,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2004,4,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2005,1,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2005,2,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2005,3,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2005,4,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2006,1,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2006,2,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2006,3,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2006,4,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2007,1,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2007,2,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2007,3,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2007,4,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2008,1,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2008,2,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2008,3,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2008,4,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2009,1,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2009,2,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2009,3,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2009,4,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2010,1,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2010,2,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2010,3,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2010,4,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2011,1,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2011,2,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2011,3,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2011,4,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2012,1,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2012,2,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2012,3,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2012,4,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2013,1,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2013,2,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2013,3,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2013,4,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2014,1,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2014,2,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2014,3,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2014,4,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2015,1,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2015,2,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2015,3,"Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,1995,4,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,1996,1,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,1996,2,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,1996,3,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,1996,4,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,1997,1,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,1997,2,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,1997,3,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,1997,4,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,1998,1,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,1998,2,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,1998,3,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,1998,4,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,1999,1,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,1999,2,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,1999,3,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,1999,4,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,2000,1,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,2000,2,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,2000,3,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,2000,4,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,2001,1,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,2001,2,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,2001,3,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,2001,4,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,2002,1,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,2002,2,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,2002,3,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,2002,4,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
